HGNC_SYMBOL,LOG2FC,PVALUE
CDH12,-0.236,0.710
CDH13,-1.150,0.023
CDH15,-0.644,0.026
CDH16,0.157,0.735
CDH17,-1.030,0.008
CDH18,-0.080,0.866
CDH19,-0.130,0.395
CDH2,-0.108,0.408
CDH20,0.347,0.077
CDH22,0.191,0.193
CDH23,-0.607,0.000
CDH24,0.001,0.997
CDH26,0.215,0.156
CDH3,0.048,0.859
CDH4,0.365,0.036
CDH5,0.180,0.378
CDH6,0.010,0.204
CDH7,1.850,0.270
CDH8,0.618,0.260
CDH9,0.110,0.840
CDHR1,-0.036,0.954
CDHR2,-0.023,0.876
CDHR3,0.183,0.610
CDHR4,0.206,0.497
CDHR5,-0.467,0.001
CDIPT,0.038,0.674
CDK1,-0.995,0.001
CDK10,-0.155,0.073
CDK11A,-0.121,0.190
CDK11B,0.064,0.854
CDK12,0.098,0.273
CDK13,0.060,0.833
CDK14,0.017,0.805
CDK15,-0.017,0.964
CDK16,-0.146,0.113
CDK17,-0.042,0.837
CDK18,0.133,0.490
CDK19,-0.128,0.176
CDK2,0.053,0.800
CDK20,-0.106,0.279
CDK2AP1,0.152,0.136
CDK2AP2,0.086,0.524
CDK3,0.009,0.970
CDK4,0.142,0.285
CDK5,0.221,0.018
CDK5R1,0.081,0.422
CDK5R2,0.075,0.862
CDK5RAP1,-0.133,0.240
CDK5RAP2,0.020,0.939
CDK5RAP3,-0.055,0.631
CDK6,-0.499,0.019
CDK7,0.089,0.537
CDK8,0.114,0.436
CDK9,0.018,0.893
CDKAL1,-0.053,0.820
CDKL1,0.105,0.498
CDKL2,0.298,0.329
CDKL3,-0.246,0.055
CDKL4,-0.158,0.355
CDKL5,-0.197,0.301
CDKN1A,0.148,0.074
CDKN1B,-0.042,0.737
CDKN1C,-0.432,0.017
CDKN2A,0.257,0.141
CDKN2AIP,-0.078,0.334
CDKN2AIPNL,-0.028,0.912
CDKN2B,0.544,0.044
CDKN2B-AS,1.470,0.178
CDKN2C,-0.208,0.254
CDKN2D,0.034,0.653
CDKN3,-0.193,0.041
CDNF,0.004,0.986
CDO1,0.363,0.058
CDON,0.208,0.106
CDR1,-0.005,0.931
CDR2,-0.145,0.082
CDR2L,0.292,0.187
CDRT1,0.261,0.184
CDRT15,0.402,0.319
CDRT15L2,0.132,0.898
CDRT15P1,-0.029,0.680
CDRT3,0.231,0.675
CDRT7,0.047,0.510
CDRT8,-0.211,0.116
CDS1,0.148,0.329
CDS2,0.083,0.331
CDSN,0.183,0.469
CDT1,-0.776,0.012
CDV3,-0.115,0.587
CDX1,0.028,0.772
CDX2,-0.241,0.239
CDX4,0.288,0.130
CDY2A,0.010,0.873
CDYL,0.200,0.178
CDYL2,-0.009,0.940
CEACAM1,-0.178,0.028
CEACAM16,-0.312,0.373
CEACAM18,0.115,0.795
CEACAM19,0.463,0.422
CEACAM20,-0.514,0.004
CEACAM21,-0.065,0.743
CEACAM22P,-2.560,0.244
CEACAM3,-0.031,0.950
CEACAM4,1.180,0.053
CEACAM5,0.339,0.366
CEACAM6,0.500,0.277
CEACAM7,-0.107,0.516
CEACAM8,-0.087,0.715
CEBPA,-0.003,0.973
CEBPB,-0.009,0.902
CEBPD,-0.128,0.430
CEBPE,0.047,0.883
CEBPG,-0.098,0.331
CEBPZ,-0.072,0.398
CECR1,0.385,0.303
CECR2,-0.047,0.701
CECR3,0.504,0.426
CECR5,-0.017,0.861
CECR5-AS1,-0.416,0.111
CECR6,-0.142,0.753
CECR7,-0.400,0.545
CECR9,-0.538,0.359
CEL,0.057,0.883
CELA1,0.713,0.289
CELA2A,-0.156,0.393
CELA2B,0.067,0.831
CELA3A,0.262,0.463
CELA3B,0.211,0.754
CELF1,-0.038,0.653
CELF2,0.301,0.396
CELF3,0.216,0.192
CELF4,-0.459,0.002
CELF5,-0.321,0.110
CELF6,0.232,0.270
CELSR1,0.204,0.285
CELSR2,0.284,0.242
CELSR3,-0.108,0.665
CEMP1,0.379,0.349
CEND1,-1.040,0.000
CENPA,0.391,0.270
CENPB,0.102,0.519
CENPBD1,-0.021,0.933
CENPC1,-0.003,0.972
CENPE,-0.438,0.033
CENPF,-0.304,0.001
CENPH,-0.097,0.546
CENPI,-0.019,0.967
CENPJ,0.004,0.967
CENPK,0.521,0.191
CENPL,-0.179,0.414
CENPM,-0.290,0.009
CENPN,-0.008,0.300
CENPO,-0.068,0.663
CENPP,0.040,0.660
CENPQ,0.036,0.677
CENPT,-0.060,0.819
CENPV,0.512,0.002
CENPW,-0.014,0.882
CEP104,0.111,0.707
CEP112,0.105,0.708
CEP120,0.078,0.330
CEP128,-0.048,0.763
CEP135,-0.058,0.528
CEP152,-0.273,0.166
CEP164,-0.272,0.561
CEP170,0.066,0.639
CEP19,0.165,0.219
CEP192,-0.160,0.044
CEP250,0.224,0.336
CEP290,-0.079,0.517
CEP350,0.204,0.309
CEP41,-0.018,0.898
CEP44,-0.135,0.589
CEP55,-0.421,0.039
CEP57,-0.201,0.101
CEP57L1,-0.087,0.525
CEP63,-0.056,0.667
CEP68,0.063,0.977
CEP70,-0.341,0.015
CEP72,0.148,0.092
CEP76,0.060,0.628
CEP78,0.217,0.063
CEP85,0.085,0.442
CEP89,-0.017,0.936
CEP95,0.098,0.413
CEP97,0.091,0.694
CEPT1,-0.069,0.526
CER1,-0.055,0.557
CERCAM,0.098,0.566
CERK,0.047,0.473
CERKL,0.011,0.960
CERS1,-0.051,0.812
CERS2,-0.166,0.127
CERS3,0.151,0.546
CERS4,0.164,0.070
CERS5,0.320,0.014
CERS6,-0.235,0.007
CES1,0.196,0.015
CES1P1,0.408,0.198
CES1P2,0.201,0.537
CES2,0.041,0.898
CES3,-0.187,0.339
CES4A,-0.567,0.047
CES5A,-0.632,0.005
CES5AP1,-0.831,0.007
CETN1,0.203,0.525
CETN2,-0.115,0.290
CETN3,-0.141,0.221
CETN4P,-0.314,0.326
CETP,1.140,0.003
CFB,0.027,0.765
CFC1,0.532,0.196
CFD,0.553,0.424
CFDP1,-0.074,0.465
CFH,-0.391,0.037
CFHR1,-0.098,0.767
CFHR2,0.061,0.856
CFHR3,-0.376,0.047
CFHR4,-0.114,0.448
CFHR5,1.970,0.202
CFI,-0.341,0.139
CFL1,0.301,0.060
CFL1P1,-0.244,0.477
CFL2,-0.111,0.445
CFLAR,0.071,0.244
CFLAR-AS1,0.012,0.951
CFP,0.952,0.237
CFTR,-0.575,0.210
CG030,-0.358,0.269
CGA,-0.162,0.643
CGB,-0.257,0.058
CGB2,-0.615,0.135
CGGBP1,-0.115,0.465
CGN,-0.279,0.030
CGNL1,0.149,0.390
CGREF1,-0.110,0.411
CGRRF1,-0.057,0.523
CH25H,-0.471,0.118
CHAC1,0.428,0.020
CHAC2,-0.012,0.929
CHAD,-0.113,0.509
CHADL,-0.122,0.121
CHAF1A,-0.038,0.922
CHAF1B,-0.014,0.865
CHAMP1,0.144,0.376
CHAT,0.468,0.168
CHCHD1,0.094,0.285
CHCHD10,-0.045,0.739
CHCHD2,0.103,0.804
CHCHD3,-0.093,0.344
CHCHD4,-0.068,0.379
CHCHD5,-0.077,0.601
CHCHD6,0.035,0.719
CHCHD7,-0.067,0.431
CHCHD8,-0.251,0.123
CHD1,-0.061,0.352
CHD1L,0.085,0.425
CHD2,-0.178,0.227
CHD3,0.041,0.771
CHD4,-0.077,0.338
CHD5,0.044,0.970
CHD6,0.140,0.625
CHD7,0.044,0.809
CHD8,0.021,0.763
CHD9,0.040,0.840
CHDH,-0.148,0.072
CHEK1,-0.116,0.391
CHEK2,0.121,0.254
CHERP,0.084,0.521
CHFR,0.061,0.530
CHGA,0.349,0.284
CHGB,-0.031,0.928
CHI3L1,0.252,0.153
CHI3L2,-0.484,0.379
CHIA,0.403,0.042
CHIC1,-0.104,0.765
CHIC2,-0.004,0.969
CHID1,-0.010,0.891
CHIT1,0.365,0.137
CHKA,0.400,0.017
CHKB,-0.071,0.581
CHL1,0.420,0.249
CHM,-0.093,0.324
CHML,-0.185,0.106
CHMP1A,-0.097,0.559
CHMP1B,-0.107,0.198
CHMP2A,0.040,0.518
CHMP2B,0.135,0.264
CHMP3,0.056,0.754
CHMP4A,0.026,0.727
CHMP4B,-0.035,0.934
CHMP4C,-0.084,0.352
CHMP5,-0.067,0.540
CHMP6,-0.002,0.982
CHMP7,0.150,0.320
CHN1,0.059,0.744
CHN2,-0.076,0.487
CHODL,-0.331,0.294
CHODL-AS1,0.012,0.854
CHORDC1,0.004,0.792
CHP,-0.171,0.079
CHP2,-0.112,0.420
CHPF,0.166,0.017
CHPF2,0.181,0.037
CHPT1,0.090,0.275
CHRAC1,-0.067,0.522
CHRD,-0.048,0.704
CHRDL1,-0.154,0.661
CHRDL2,0.200,0.503
CHRFAM7A,-0.002,0.718
CHRM1,0.040,0.528
CHRM2,0.108,0.779
CHRM3,-0.081,0.611
CHRM4,-0.775,0.174
CHRM5,0.127,0.669
CHRNA1,-0.307,0.101
CHRNA10,-0.002,0.992
CHRNA2,0.495,0.257
CHRNA3,0.252,0.818
CHRNA4,-1.230,0.189
CHRNA5,0.025,0.801
CHRNA6,0.138,0.512
CHRNA7,-0.095,0.377
CHRNA9,0.038,0.560
CHRNB1,0.322,0.029
CHRNB2,0.875,0.095
CHRNB3,0.253,0.533
CHRNB4,0.095,0.681
CHRND,-0.055,0.689
CHRNE,-0.027,0.897
CHRNG,-0.053,0.605
CHST1,-0.079,0.755
CHST10,0.302,0.486
CHST11,0.579,0.062
CHST12,0.097,0.229
CHST13,-0.389,0.037
CHST14,0.001,0.992
CHST15,-0.056,0.535
CHST2,-1.100,0.001
CHST3,-0.102,0.623
CHST4,-0.049,0.583
CHST5,0.134,0.406
CHST6,0.140,0.326
CHST7,0.067,0.523
CHST8,-0.010,0.974
CHST9,-0.011,0.943
CHST9-AS1,-0.010,0.862
CHSY1,-0.177,0.170
CHSY3,0.021,0.933
CHTF18,-0.072,0.502
CHTF8,0.022,0.878
CHTOP,-0.369,0.764
CHUK,-0.077,0.314
CHURC1,-0.073,0.630
CIAO1,-0.146,0.184
CIAPIN1,-0.037,0.929
CIB1,0.148,0.129
CIB2,-0.028,0.835
CIB3,0.254,0.526
CIB4,-0.010,0.875
CIC,0.083,0.496
CIDEA,0.347,0.307
CIDEB,-0.809,0.007
CIDEC,-0.711,0.000
CIDECP,-0.762,0.002
CIITA,0.504,0.210
CILP,0.010,0.872
CILP2,-0.382,0.614
CINP,-0.040,0.549
CIR1,-0.029,0.764
CIRBP,-0.141,0.141
CIRH1A,0.008,0.936
CISD1,-0.126,0.291
CISD2,-0.082,0.513
CISD3,0.091,0.692
CISH,-0.289,0.593
CIT,-0.387,0.032
CITED1,-0.404,0.270
CITED2,-0.484,0.000
CITED4,-0.162,0.090
CIZ1,0.242,0.058
CKAP2,0.061,0.932
CKAP2L,-1.380,0.085
CKAP4,-0.028,0.866
CKAP5,-0.005,0.973
CKB,-0.503,0.010
CKLF,-0.160,0.133
CKM,1.220,0.310
CKMT1A,0.042,0.875
CKMT2,-0.727,0.035
CKS1B,-0.289,0.008
CKS2,0.036,0.611
CLASP1,-0.096,0.783
CLASP2,0.158,0.486
CLASRP,-0.109,0.263
CLC,-0.258,0.299
CLCA1,-0.087,0.870
CLCA2,-0.006,0.919
CLCA3P,-0.706,0.317
CLCA4,-0.171,0.451
CLCC1,-0.039,0.947
CLCF1,0.198,0.156
CLCN1,0.197,0.410
CLCN2,0.056,0.687
CLCN3,0.117,0.269
CLCN4,-0.123,0.204
CLCN5,-0.046,0.633
CLCN6,0.045,0.024
CLCN7,0.129,0.259
CLCNKA,-0.014,0.920
CLCNKB,0.181,0.354
CLDN1,-0.311,0.013
CLDN10,-0.015,0.678
CLDN11,-0.388,0.235
CLDN12,-0.012,0.987
CLDN14,-0.162,0.330
CLDN15,-0.219,0.189
CLDN16,-0.605,0.011
CLDN17,0.011,0.868
CLDN18,0.015,0.938
CLDN19,0.101,0.650
CLDN2,-1.080,0.000
CLDN20,0.277,0.655
CLDN22,0.017,0.780
CLDN23,0.056,0.511
CLDN24,-0.076,0.898
CLDN25,-0.114,0.814
CLDN3,-0.302,0.020
CLDN4,0.140,0.449
CLDN5,-0.392,0.127
CLDN6,0.336,0.395
CLDN7,-0.149,0.234
CLDN8,0.043,0.508
CLDN9,0.117,0.149
CLDND1,-0.032,0.820
CLDND2,-0.777,0.027
CLEC10A,0.099,0.714
CLEC11A,-0.120,0.329
CLEC12A,0.030,0.670
CLEC12B,0.432,0.200
CLEC14A,-0.336,0.241
CLEC16A,-0.138,0.218
CLEC17A,0.323,0.091
CLEC18B,0.083,0.695
CLEC18C,-0.623,0.137
CLEC19A,-0.734,0.176
CLEC1A,-0.540,0.009
CLEC1B,0.158,0.578
CLEC2A,0.457,0.331
CLEC2B,0.156,0.302
CLEC2D,-0.100,0.493
CLEC2L,-0.224,0.387
CLEC3A,0.035,0.584
CLEC3B,-0.322,0.023
CLEC4A,-0.069,0.745
CLEC4C,0.170,0.729
CLEC4D,-0.037,0.703
CLEC4E,1.510,0.471
CLEC4F,0.175,0.124
CLEC4G,0.041,0.882
CLEC4GP1,0.398,0.197
CLEC4M,-0.082,0.582
CLEC5A,0.045,0.455
CLEC6A,0.020,0.732
CLEC7A,0.362,0.448
CLEC9A,0.192,0.443
CLECL1,0.616,0.079
CLGN,-0.096,0.462
CLIC1,0.017,0.943
CLIC2,-0.215,0.382
CLIC3,-0.026,0.883
CLIC4,0.243,0.013
CLIC5,0.035,0.666
CLIC6,-0.373,0.260
CLINT1,0.048,0.433
CLIP1,0.544,0.000
CLIP2,0.167,0.238
CLIP3,0.163,0.348
CLIP4,0.188,0.152
CLK1,0.048,0.862
CLK2,0.135,0.421
CLK3,-0.237,0.475
CLK4,-0.216,0.143
CLLU1,0.024,0.744
CLLU1OS,0.124,0.696
CLMN,0.266,0.024
CLMP,-0.240,0.690
CLN3,0.149,0.095
CLN5,0.005,0.953
CLN6,0.115,0.411
CLN8,-0.385,0.511
CLNK,0.006,0.922
CLNS1A,-0.001,0.988
CLOCK,0.013,0.967
CLP1,0.110,0.252
CLPB,0.016,0.849
CLPP,-0.058,0.374
CLPS,0.223,0.129
CLPTM1,0.044,0.544
CLPTM1L,0.032,0.685
CLPX,-0.033,0.813
CLRN1,0.049,0.880
CLRN1-AS1,-0.087,0.825
CLRN2,0.099,0.870
CLRN3,-1.220,0.006
CLSPN,-0.021,0.926
CLSTN1,0.424,0.009
CLSTN2,-0.096,0.462
CLSTN3,-0.276,0.119
CLTA,0.059,0.471
CLTB,0.195,0.461
CLTC,-0.355,0.240
CLTCL1,-0.234,0.032
CLU,0.064,0.373
CLUAP1,-0.087,0.460
CLUL1,0.037,0.540
CLVS1,0.090,0.260
CLVS2,-0.217,0.718
CLYBL,-0.204,0.135
CMA1,-0.022,0.607
CMAHP,0.133,0.429
CMAS,0.046,0.795
CMBL,-0.816,0.092
CMC1,-0.195,0.029
CMIP,0.191,0.308
CMKLR1,-0.362,0.240
CMPK1,-0.047,0.640
CMPK2,0.103,0.438
CMTM1,-0.113,0.603
CMTM2,0.019,0.742
CMTM3,0.280,0.046
CMTM4,0.000,0.995
CMTM5,-0.387,0.404
CMTM6,-0.147,0.438
CMTM7,0.062,0.758
CMTM8,-0.006,0.929
CMYA5,-0.242,0.356
CN5H6.4,-0.051,0.743
CNBD1,0.147,0.199
CNBP,0.105,0.520
CNDP1,-0.251,0.084
CNDP2,0.047,0.660
CNFN,0.291,0.250
CNGA1,-0.402,0.211
CNGA2,0.015,0.795
CNGA3,1.038,0.124
CNGA4,-0.224,0.682
CNGB1,-0.069,0.412
CNGB3,-0.317,0.246
CNIH,-0.020,0.914
CNIH2,0.158,0.589
CNIH3,-1.040,0.018
CNIH4,-0.052,0.608
CNKSR1,0.043,0.863
CNKSR2,-0.186,0.389
CNKSR3,-0.444,0.001
CNN1,0.529,0.132
CNN2,0.261,0.007
CNN3,0.015,0.903
CNNM1,-0.236,0.518
CNNM2,0.132,0.537
CNNM3,0.138,0.213
CNNM4,0.250,0.053
CNO,0.091,0.238
CNOT1,0.206,0.098
CNOT10,-0.033,0.745
CNOT2,0.066,0.460
CNOT3,0.038,0.451
CNOT4,0.007,0.923
CNOT6,-0.006,0.959
CNOT6L,-0.356,0.002
CNOT7,0.053,0.198
CNOT8,0.103,0.356
CNP,-0.065,0.366
CNPPD1,-0.096,0.400
CNPY1,0.024,0.979
CNPY2,-0.014,0.843
CNPY3,0.129,0.229
CNPY4,0.229,0.349
CNR1,-0.959,0.064
CNR2,0.155,0.194
CNRIP1,-0.258,0.676
CNST,0.165,0.156
CNTD1,-0.042,0.883
CNTD2,-0.364,0.040
CNTF,0.198,0.454
CNTFR,0.159,0.634
CNTLN,0.640,0.000
CNTN1,0.020,0.593
CNTN2,0.124,0.692
CNTN3,-0.071,0.690
CNTN4,-0.591,0.011
CNTN5,0.009,0.905
CNTN6,-0.534,0.301
CNTNAP1,0.358,0.273
CNTNAP2,-0.169,0.586
CNTNAP3,0.042,0.030
CNTNAP3B,-0.042,0.658
CNTNAP4,-0.003,0.997
CNTNAP5,-0.244,0.065
CNTRL,-0.065,0.573
CNTROB,0.066,0.593
COA5,-0.146,0.354
COASY,-0.037,0.676
COBL,-0.135,0.262
COBLL1,-0.365,0.016
COBRA1,0.029,0.629
COCH,-0.027,0.939
COG1,0.016,0.847
COG2,0.053,0.590
COG3,-0.194,0.093
COG4,0.094,0.498
COG5,-0.024,0.812
COG6,-0.253,0.568
COG7,0.074,0.477
COG8,-0.023,0.906
COIL,-0.065,0.443
COL10A1,0.169,0.682
COL11A1,0.030,0.618
COL11A2,0.171,0.639
COL12A1,-0.218,0.334
COL13A1,0.147,0.533
COL14A1,0.021,0.624
COL15A1,-0.725,0.033
COL16A1,-0.037,0.066
COL17A1,-0.252,0.316
COL18A1,-0.036,0.795
COL18A1-AS1,0.290,0.320
COL19A1,0.269,0.505
COL1A1,-0.339,0.045
COL1A2,-1.020,0.001
COL20A1,-0.190,0.762
COL21A1,0.551,0.161
COL22A1,0.132,0.321
COL23A1,-0.087,0.228
COL24A1,-0.214,0.707
COL25A1,0.060,0.896
COL27A1,-0.062,0.325
COL28A1,-0.381,0.049
COL2A1,0.685,0.284
COL3A1,-0.027,0.766
COL4A1,-0.491,0.016
COL4A2,-0.117,0.306
COL4A3,-0.156,0.665
COL4A3BP,-0.049,0.696
COL4A4,-0.046,0.681
COL4A5,-0.103,0.624
COL4A6,0.373,0.446
COL5A1,-0.347,0.030
COL5A2,-0.641,0.010
COL5A3,0.212,0.398
COL6A1,0.114,0.456
COL6A2,-0.384,0.164
COL6A3,0.054,0.633
COL6A4P2,0.273,0.496
COL6A5,0.337,0.421
COL6A6,0.018,0.766
COL7A1,0.051,0.795
COL8A1,-0.099,0.492
COL8A2,0.140,0.874
COL9A1,0.107,0.485
COL9A2,-0.050,0.305
COL9A3,0.076,0.517
COLEC10,0.046,0.477
COLEC11,-0.357,0.029
COLEC12,-0.400,0.460
COLQ,-0.776,0.053
COMMD1,0.074,0.418
COMMD10,-0.089,0.337
COMMD2,-0.054,0.592
COMMD3,0.050,0.666
COMMD4,0.138,0.055
COMMD5,0.079,0.412
COMMD6,0.023,0.274
COMMD7,0.254,0.027
COMMD8,-0.133,0.125
COMMD9,0.206,0.097
COMP,-0.114,0.866
COMT,0.208,0.039
COMTD1,-0.069,0.310
COPA,-0.211,0.059
COPB1,-0.217,0.053
COPB2,0.063,0.506
COPE,-0.029,0.730
COPG,0.000,0.998
COPG2,-0.166,0.045
COPG2IT1,-0.996,0.406
COPS2,-0.109,0.145
COPS3,-0.040,0.660
COPS4,-0.031,0.840
COPS5,-0.011,0.876
COPS6,0.088,0.245
COPS7A,-0.090,0.335
COPS7B,-0.098,0.236
COPS8,-0.142,0.233
COPZ1,0.134,0.369
COPZ2,-0.015,0.879
COQ10A,0.291,0.042
COQ10B,0.025,0.983
COQ2,-0.019,0.913
COQ3,-0.360,0.003
COQ4,0.193,0.875
COQ5,0.182,0.578
COQ6,0.055,0.535
COQ7,-0.055,0.446
COQ9,-0.006,0.953
CORIN,-0.079,0.630
CORO1A,0.092,0.751
CORO1B,-0.021,0.933
CORO1C,0.040,0.675
CORO2A,-0.027,0.891
CORO2B,0.064,0.696
CORO6,0.487,0.061
CORO7,0.543,0.002
CORT,-0.047,0.856
COTL1,-0.270,0.298
COX1,0.004,0.960
COX10,-0.161,0.101
COX11,-0.165,0.029
COX15,0.003,0.843
COX16,-0.285,0.166
COX17,-0.139,0.118
COX18,0.661,0.290
COX19,0.155,0.278
COX2,0.051,0.725
COX3,0.096,0.414
COX4I1,-0.040,0.517
COX4I2,-0.021,0.960
COX4NB,-0.136,0.113
COX5A,-0.283,0.545
COX5B,-0.125,0.218
COX6A1,-0.070,0.311
COX6A2,0.069,0.725
COX6B1,0.049,0.756
COX6B2,-0.002,0.900
COX6C,-0.130,0.192
COX7A1,-0.379,0.071
COX7A2,-0.227,0.059
COX7A2L,-0.084,0.481
COX7B,-0.114,0.109
COX7B2,-0.139,0.396
COX7C,-0.078,0.229
COX8A,-0.012,0.920
COX8C,-0.362,0.052
CP,0.256,0.416
CPA1,0.018,0.752
CPA2,-0.647,0.011
CPA3,-0.140,0.395
CPA4,0.166,0.607
CPA5,-0.145,0.117
CPA6,-0.009,0.872
CPAMD8,0.290,0.718
CPB1,0.070,0.699
CPB2,-0.574,0.058
CPD,0.080,0.479
CPE,-0.284,0.026
CPEB1,0.175,0.445
CPEB2,0.048,0.866
CPEB3,0.219,0.393
CPEB4,-0.164,0.097
CPLX1,-0.203,0.169
CPLX2,0.119,0.827
CPLX3,0.465,0.128
CPLX4,0.036,0.551
CPN1,-0.862,0.010
CPN2,-0.062,0.549
CPNE1,0.035,0.454
CPNE2,0.418,0.065
CPNE3,0.155,0.122
CPNE4,-0.131,0.380
CPNE5,0.117,0.464
CPNE6,-0.075,0.489
CPNE7,-0.233,0.269
CPNE8,-0.102,0.305
CPNE9,0.444,0.439
CPO,0.337,0.209
CPOX,-0.067,0.481
CPPED1,-0.064,0.541
CPS1,-1.370,0.003
CPS1-IT1,0.125,0.387
CPSF1,-0.076,0.486
CPSF2,-0.137,0.441
CPSF3,0.089,0.492
CPSF3L,-0.073,0.456
CPSF4,0.175,0.184
CPSF4L,0.078,0.670
CPSF6,0.068,0.421
CPSF7,0.003,0.990
CPT1A,-0.117,0.099
CPT1B,0.220,0.356
CPT1C,-0.034,0.678
CPT2,0.150,0.110
CPVL,0.577,0.004
CPXCR1,0.499,0.366
CPXM1,0.672,0.118
CPXM2,-0.206,0.265
CPZ,0.503,0.161
CR1,-0.105,0.697
CR1L,0.014,0.806
CR2,0.113,0.493
CRABP1,0.018,0.915
CRABP2,0.196,0.384
CRADD,-0.023,0.815
CRAMP1L,-0.052,0.916
CRAT,-0.096,0.475
CRB1,0.076,0.713
CRB2,0.056,0.271
CRB3,0.021,0.843
CRBN,-0.285,0.044
CRCP,0.034,0.785
CRCT1,-0.855,0.004
CREB1,0.178,0.228
CREB3,0.065,0.411
CREB3L1,0.251,0.259
CREB3L2,-0.014,0.662
CREB3L3,-0.347,0.039
CREB3L4,-0.089,0.700
CREB5,-0.099,0.386
CREBBP,-0.079,0.747
CREBL2,-0.024,0.907
CREBZF,0.026,0.888
CREG1,0.395,0.002
CREG2,0.231,0.716
CRELD1,-0.138,0.303
CRELD2,-0.119,0.299
CREM,-0.157,0.060
CRH,0.060,0.831
CRHBP,0.381,0.382
CRHR1,-0.102,0.808
CRHR2,0.121,0.498
CRIM1,-0.002,0.978
CRIP1,-0.481,0.001
CRIP2,-0.414,0.015
CRIP3,0.011,0.971
CRIPAK,0.038,0.768
CRIPT,-0.084,0.574
CRISP1,0.028,0.645
CRISP2,0.124,0.650
CRISP3,0.057,0.522
CRISPLD1,0.032,0.593
CRISPLD2,-0.288,0.255
CRK,0.070,0.648
CRKL,0.067,0.904
CRLF1,-0.009,0.931
CRLF2,0.047,0.978
CRLF3,0.011,0.910
CRLS1,-0.199,0.076
CRMP1,0.136,0.739
CRNDE,-0.174,0.065
CRNKL1,-0.028,0.908
CRNN,-0.063,0.761
CROCC,0.053,0.851
CROCCP2,0.010,0.258
CROCCP3,-0.230,0.719
CROT,-0.441,0.009
CRP,-0.652,0.001
CRTAC1,0.464,0.194
CRTAM,0.034,0.656
CRTAP,-0.153,0.305
CRTC1,-0.069,0.489
CRTC2,0.042,0.774
CRTC3,0.100,0.315
CRX,0.681,0.348
CRY1,-0.284,0.425
CRY2,-0.076,0.479
CRYAA,0.825,0.004
CRYAB,-0.573,0.005
CRYBA1,0.113,0.657
CRYBA2,-0.013,0.882
CRYBA4,-0.567,0.066
CRYBB1,-0.194,0.550
CRYBB2,-0.142,0.083
CRYBB2P1,-0.279,0.056
CRYBB3,0.189,0.404
CRYGA,-0.069,0.847
CRYGB,0.277,0.508
CRYGC,-0.263,0.387
CRYGD,0.458,0.279
CRYGN,-0.140,0.596
CRYGS,-0.016,0.944
CRYL1,-0.185,0.066
CRYM,-0.316,0.020
CRYM-AS1,-0.437,0.149
CRYZ,-0.096,0.475
CRYZL1,-0.105,0.812
CS,-0.071,0.325
CSAD,-0.117,0.448
CSAG1,-0.737,0.017
CSAG2,-0.876,0.038
CSAG3,0.935,0.152
CSDA,0.360,0.029
CSDC2,-0.058,0.848
CSDE1,-0.084,0.293
CSE1L,0.025,0.815
CSF1,0.623,0.006
CSF1R,-0.382,0.620
CSF2,0.536,0.032
CSF2RA,1.640,0.034
CSF2RB,0.320,0.239
CSF3,0.069,0.353
CSF3R,0.290,0.139
CSGALNACT1,-0.771,0.000
CSGALNACT2,-0.060,0.731
CSH1,-0.022,0.416
CSH2,0.170,0.628
CSHL1,0.009,0.982
CSK,0.039,0.718
CSMD1,0.056,0.846
CSMD2,-0.142,0.108
CSMD3,0.036,0.643
CSN1S1,-0.040,0.838
CSN1S2AP,0.015,0.819
CSN1S2BP,0.010,0.863
CSN2,-0.246,0.311
CSN3,1.220,0.388
CSNK1A1,0.043,0.685
CSNK1A1L,0.506,0.260
CSNK1A1P1,-0.336,0.474
CSNK1D,0.148,0.117
CSNK1E,-0.005,0.734
CSNK1G1,-0.004,0.679
CSNK1G2,0.086,0.660
CSNK1G3,-0.170,0.151
CSNK2A1,-0.031,0.899
CSNK2A2,0.155,0.384
CSNK2B,0.050,0.848
CSPG4,0.034,0.572
CSPG4P1Y,-0.076,0.410
CSPG5,0.267,0.303
CSPP1,-0.035,0.718
CSRNP1,-0.043,0.589
CSRNP2,0.323,0.030
CSRNP3,-0.719,0.009
CSRP1,0.187,0.168
CSRP2,-0.428,0.140
CSRP2BP,-0.112,0.333
CSRP3,0.049,0.470
CST1,-0.938,0.034
CST11,0.138,0.552
CST2,0.472,0.360
CST3,0.179,0.049
CST5,0.069,0.447
CST6,-0.028,0.859
CST7,0.163,0.262
CST8,0.140,0.195
CST9,0.502,0.416
CST9L,0.036,0.584
CSTA,0.149,0.285
CSTB,0.200,0.130
CSTF1,-0.019,0.780
CSTF2,0.117,0.192
CSTF2T,-0.031,0.771
CSTF3,-0.051,0.609
CSTL1,0.285,0.578
CSTT,0.017,0.920
CT45A1,0.094,0.501
CT45A5,-0.606,0.010
CT47A11,-0.640,0.151
CT62,0.063,0.930
CTAG1A,-0.018,0.908
CTAG2,0.173,0.512
CTAGE1,-0.123,0.613
CTAGE10P,-0.016,0.250
CTAGE11P,0.073,0.322
CTAGE15P,0.065,0.396
CTAGE4,0.132,0.200
CTAGE5,-0.085,0.435
CTBP1,0.050,0.697
CTBP2,0.048,0.436
CTBS,-0.162,0.143
CTC1,-0.030,0.808
CTCF,0.099,0.264
CTCFL,0.024,0.724
CTDNEP1,0.106,0.241
CTDP1,0.084,0.738
