HGNC_SYMBOL,LOG2FC,PVALUE
ACTR3B,-0.108,0.175
ACTR3BP2,0.335,0.285
ACTR3BP5,0.504,0.140
ACTR3C,0.050,0.843
ACTR5,0.066,0.618
ACTR6,-0.099,0.438
ACTR8,0.225,0.110
ACTRT1,-0.436,0.320
ACTRT2,-0.679,0.069
ACVR1,0.186,0.075
ACVR1B,0.114,0.499
ACVR1C,-0.417,0.450
ACVR2A,0.053,0.837
ACVR2B,-0.041,0.792
ACVRL1,-0.053,0.852
ACY1,-0.071,0.557
ACY3,-0.015,0.884
ACYP1,-0.221,0.059
ACYP2,0.114,0.295
ADA,0.047,0.556
ADAD1,0.228,0.751
ADAD2,-0.031,0.815
ADAL,-0.232,0.334
ADAM10,-0.045,0.299
ADAM11,-0.005,0.796
ADAM12,0.085,0.354
ADAM15,-0.002,0.891
ADAM17,0.334,0.069
ADAM18,0.003,0.957
ADAM19,0.001,0.231
ADAM2,-1.250,0.380
ADAM20,0.354,0.296
ADAM21,0.195,0.197
ADAM22,0.375,0.251
ADAM23,-0.214,0.289
ADAM28,-0.035,0.878
ADAM29,-0.255,0.607
ADAM30,-0.375,0.131
ADAM32,0.038,0.397
ADAM33,0.228,0.219
ADAM3A,0.062,0.693
ADAM5P,0.009,0.893
ADAM6,-0.005,0.939
ADAM7,-0.326,0.507
ADAM8,-0.032,0.752
ADAM9,-0.107,0.267
ADAMDEC1,-0.073,0.898
ADAMTS1,-0.333,0.005
ADAMTS10,0.585,0.012
ADAMTS12,-0.575,0.325
ADAMTS13,-0.101,0.698
ADAMTS14,0.130,0.201
ADAMTS15,0.775,0.585
ADAMTS16,0.066,0.470
ADAMTS17,0.148,0.231
ADAMTS18,0.182,0.301
ADAMTS19,0.113,0.720
ADAMTS2,0.577,0.503
ADAMTS20,0.045,0.540
ADAMTS3,-0.061,0.933
ADAMTS4,0.089,0.242
ADAMTS5,0.414,0.151
ADAMTS6,-0.025,0.609
ADAMTS7,0.110,0.863
ADAMTS8,0.080,0.404
ADAMTS9,-0.144,0.566
ADAMTSL1,-0.109,0.743
ADAMTSL2,0.038,0.521
ADAMTSL3,-0.054,0.836
ADAMTSL4,-0.089,0.660
ADAMTSL5,0.142,0.552
ADAP1,0.113,0.431
ADAP2,0.003,0.985
ADAR,0.140,0.445
ADARB1,-0.057,0.714
ADARB2,-0.362,0.180
ADARB2-AS1,0.282,0.662
ADAT1,0.078,0.417
ADAT2,-0.011,0.540
ADAT3,-0.207,0.075
ADC,0.062,0.368
ADCK1,0.111,0.627
ADCK2,0.089,0.500
ADCK3,-0.020,0.691
ADCK4,-0.066,0.619
ADCK5,0.095,0.473
